Max_of_single,Minimized,ChromaticNumberSimple,MaxRootDist,size,Combined,HeuristicThenRecursive,Recursive,Single_terminal_minimized,Heuristic,Recursive2,MinRootDist,Sum_of_single,ThompsonModified
2007,48979,8450,7261,610,62049,7360,6992,30650,7590,6647,6615,45949,9909
1299,17358,9220,5788,111,19052,5918,5647,15301,5918,5671,5906,8913,9963
534,3486,181,106,63,4071,106,104,2738,122,106,105,3633,236
524,2764,582,379,41,4231,366,377,1922,371,374,377,2562,607
528,2734,214,157,29,5633,202,183,2408,202,202,191,2706,239
1014,1708,169,165,23,6205,163,163,1457,163,162,163,1723,198
99,464,16,16,14,736,16,16,451,16,16,16,491,19
502,1114,44,43,11,1844,43,42,1104,43,40,38,1132,49
807,1413,44,35,10,2725,31,28,1404,31,28,32,1413,58
520,692,10,10,9,846,10,10,684,10,10,10,706,11
41,144,10,10,9,308,10,10,136,10,10,10,159,11
71,229,10,10,9,766,10,10,221,10,10,10,246,12
54,167,118,69,9,211,69,69,156,69,69,69,303,131
